sl,year,month,day,hour,rh,tDryBulb,iExh,ih,iDn,iDfh
1,2001,1,1,1,39,17,0,0.00,0,0
2,2001,1,1,2,38,17,0,0.00,0,0
3,2001,1,1,3,38,17,0,0.00,0,0
4,2001,1,1,4,37,18,0,0.00,0,0
5,2001,1,1,5,37,18,0,0.00,0,0
6,2001,1,1,6,37,18,0,0.00,0,0
7,2001,1,1,7,37,18,0,0.00,0,0
8,2001,1,1,8,36,18,36,64.76,56,1
9,2001,1,1,9,35,19,240,217.46,323,49
10,2001,1,1,10,35,19,437,357.91,449,103
11,2001,1,1,11,34,20,581,467.90,566,127
12,2001,1,1,12,33,20,662,532.03,608,139
13,2001,1,1,13,31,21,676,542.63,636,138
14,2001,1,1,14,32,20,620,498.40,668,118
15,2001,1,1,15,33,20,499,404.83,555,120
16,2001,1,1,16,35,20,322,274.04,411,107
17,2001,1,1,17,35,20,103,123.43,202,17
18,2001,1,1,18,35,19,0,0.00,0,0
19,2001,1,1,19,36,19,0,0.00,0,0
20,2001,1,1,20,36,19,0,0.00,0,0
21,2001,1,1,21,36,19,0,0.00,0,0
22,2001,1,1,22,36,19,0,0.00,0,0
23,2001,1,1,23,36,19,0,0.00,0,0
24,2001,1,1,0,36,19,0,0.00,0,0
25,2001,1,2,1,37,18,0,0.00,0,0
26,2001,1,2,2,37,18,0,0.00,0,0
27,2001,1,2,3,37,18,0,0.00,0,0
28,2001,1,2,4,38,18,0,0.00,0,0
29,2001,1,2,5,38,18,0,0.00,0,0
30,2001,1,2,6,38,18,0,0.00,0,0
31,2001,1,2,7,38,18,0,0.00,0,0
32,2001,1,2,8,37,18,35,64.52,22,1
33,2001,1,2,9,36,19,240,217.90,124,62
34,2001,1,2,10,35,19,437,359.29,415,118
35,2001,1,2,11,34,19,582,469.61,607,121
36,2001,1,2,12,33,20,664,534.39,661,125
37,2001,1,2,13,31,20,678,545.46,696,126
38,2001,1,2,14,32,20,623,501.48,624,129
39,2001,1,2,15,32,20,502,407.89,536,125
40,2001,1,2,16,33,19,325,276.79,395,108
41,2001,1,2,17,34,19,106,125.62,197,17
42,2001,1,2,18,35,18,0,0.00,0,0
43,2001,1,2,19,36,18,0,0.00,0,0
44,2001,1,2,20,36,18,0,0.00,0,0
45,2001,1,2,21,36,18,0,0.00,0,0
46,2001,1,2,22,36,17,0,0.00,0,0
47,2001,1,2,23,37,17,0,0.00,0,0
48,2001,1,2,0,38,17,0,0.00,0,0
49,2001,1,3,1,38,17,0,0.00,0,0
50,2001,1,3,2,39,17,0,0.00,0,0
51,2001,1,3,3,39,17,0,0.00,0,0
52,2001,1,3,4,39,16,0,0.00,0,0
53,2001,1,3,5,39,17,0,0.00,0,0
54,2001,1,3,6,39,17,0,0.00,0,0
55,2001,1,3,7,39,17,0,0.00,0,0
56,2001,1,3,8,38,18,35,64.01,57,1
57,2001,1,3,9,37,18,240,217.42,412,47
58,2001,1,3,10,36,18,438,358.40,623,77
59,2001,1,3,11,35,19,583,468.26,665,107
60,2001,1,3,12,33,19,666,532.47,703,116
61,2001,1,3,13,32,20,680,543.93,726,116
62,2001,1,3,14,33,20,626,500.55,717,106
63,2001,1,3,15,33,19,505,408.30,632,112
64,2001,1,3,16,34,19,328,277.82,445,104
65,2001,1,3,17,35,19,109,127.31,226,17
66,2001,1,3,18,35,19,0,0.00,0,0
67,2001,1,3,19,36,18,0,0.00,0,0
68,2001,1,3,20,35,18,0,0.00,0,0
69,2001,1,3,21,35,18,0,0.00,0,0
70,2001,1,3,22,34,18,0,0.00,0,0
71,2001,1,3,23,35,18,0,0.00,0,0
72,2001,1,3,0,35,18,0,0.00,0,0
73,2001,1,4,1,35,17,0,0.00,0,0
74,2001,1,4,2,35,17,0,0.00,0,0
75,2001,1,4,3,35,17,0,0.00,0,0
76,2001,1,4,4,35,17,0,0.00,0,0
77,2001,1,4,5,35,17,0,0.00,0,0
78,2001,1,4,6,36,17,0,0.00,0,0
79,2001,1,4,7,36,17,0,0.00,0,0
80,2001,1,4,8,37,18,35,63.61,17,1
81,2001,1,4,9,37,18,241,217.43,332,61
82,2001,1,4,10,38,18,438,359.54,556,88
83,2001,1,4,11,37,19,584,470.74,654,111
84,2001,1,4,12,37,19,668,536.45,667,126
85,2001,1,4,13,37,19,683,548.41,732,124
86,2001,1,4,14,38,19,629,505.14,698,113
87,2001,1,4,15,39,19,509,412.02,625,112
88,2001,1,4,16,40,18,332,281.03,421,107
89,2001,1,4,17,41,18,113,129.62,218,19
90,2001,1,4,18,41,18,0,0.00,0,0
91,2001,1,4,19,42,18,0,0.00,0,0
92,2001,1,4,20,44,18,0,0.00,0,0
93,2001,1,4,21,46,17,0,0.00,0,0
94,2001,1,4,22,48,17,0,0.00,0,0
95,2001,1,4,23,49,17,0,0.00,0,0
96,2001,1,4,0,50,17,0,0.00,0,0
97,2001,1,5,1,50,17,0,0.00,0,0
98,2001,1,5,2,50,17,0,0.00,0,0
99,2001,1,5,3,50,16,0,0.00,0,0
100,2001,1,5,4,49,16,0,0.00,0,0
101,2001,1,5,5,47,17,0,0.00,0,0
102,2001,1,5,6,45,17,0,0.00,0,0
103,2001,1,5,7,43,17,0,0.00,0,0
104,2001,1,5,8,41,18,35,22.80,59,1
105,2001,1,5,9,39,18,241,39.42,377,46
106,2001,1,5,10,37,19,439,44.52,522,93
107,2001,1,5,11,35,19,586,41.90,677,106
108,2001,1,5,12,33,20,670,34.94,667,125
109,2001,1,5,13,31,20,685,24.25,653,136
110,2001,1,5,14,32,20,632,12.86,624,131
111,2001,1,5,15,33,20,512,14.13,573,121
112,2001,1,5,16,34,20,335,30.64,441,109
113,2001,1,5,17,35,20,116,34.79,0,0
114,2001,1,5,18,37,19,0,0.00,0,0
115,2001,1,5,19,38,19,0,0.00,0,0
116,2001,1,5,20,39,19,0,0.00,0,0
117,2001,1,5,21,40,19,0,0.00,0,0
118,2001,1,5,22,41,19,0,0.00,0,0
119,2001,1,5,23,41,19,0,0.00,0,0
120,2001,1,5,0,41,19,0,0.00,0,0
121,2001,1,6,1,41,19,0,0.00,0,0
122,2001,1,6,2,41,18,0,0.00,0,0
123,2001,1,6,3,40,18,0,0.00,0,0
124,2001,1,6,4,40,18,0,0.00,0,0
125,2001,1,6,5,38,19,0,0.00,0,0
126,2001,1,6,6,36,19,0,0.00,0,0
127,2001,1,6,7,33,20,0,0.00,0,0
128,2001,1,6,8,31,20,35,62.97,24,1
129,2001,1,6,9,29,21,242,217.30,228,58
130,2001,1,6,10,28,21,440,360.16,522,98
131,2001,1,6,11,31,22,587,472.26,619,118
132,2001,1,6,12,34,22,672,538.91,631,135
133,2001,1,6,13,37,23,688,551.74,569,163
134,2001,1,6,14,38,22,635,509.16,611,135
135,2001,1,6,15,40,22,516,416.44,604,115
136,2001,1,6,16,42,21,339,285.52,439,107
137,2001,1,6,17,42,21,120,133.79,0,0
138,2001,1,6,18,42,21,0,0.00,0,0
139,2001,1,6,19,42,20,0,0.00,0,0
140,2001,1,6,20,40,20,0,0.00,0,0
141,2001,1,6,21,38,21,0,0.00,0,0
142,2001,1,6,22,36,21,0,0.00,0,0
143,2001,1,6,23,36,20,0,0.00,0,0
144,2001,1,6,0,36,20,0,0.00,0,0
145,2001,1,7,1,37,20,0,0.00,0,0
146,2001,1,7,2,38,20,0,0.00,0,0
147,2001,1,7,3,39,19,0,0.00,0,0
148,2001,1,7,4,40,19,0,0.00,0,0
149,2001,1,7,5,39,19,0,0.00,0,0
150,2001,1,7,6,39,19,0,0.00,0,0
151,2001,1,7,7,39,19,0,0.00,0,0
152,2001,1,7,8,36,20,36,62.75,6,1
153,2001,1,7,9,34,20,242,217.35,84,62
154,2001,1,7,10,32,21,442,360.61,0,95
155,2001,1,7,11,32,21,589,473.17,23,178
156,2001,1,7,12,31,22,674,540.29,0,163
157,2001,1,7,13,31,22,691,553.54,0,161
158,2001,1,7,14,31,21,638,511.29,0,101
159,2001,1,7,15,31,21,519,418.76,71,172
160,2001,1,7,16,31,21,343,287.85,270,134
161,2001,1,7,17,32,20,124,135.95,0,0
162,2001,1,7,18,33,20,0,0.00,0,0
163,2001,1,7,19,34,19,0,0.00,0,0
164,2001,1,7,20,35,19,0,0.00,0,0
165,2001,1,7,21,36,19,0,0.00,0,0
166,2001,1,7,22,37,18,0,0.00,0,0
167,2001,1,7,23,38,18,0,0.00,0,0
168,2001,1,7,0,39,18,0,0.00,0,0
169,2001,1,8,1,40,17,0,0.00,0,0
170,2001,1,8,2,41,17,0,0.00,0,0
171,2001,1,8,3,42,17,0,0.00,0,0
172,2001,1,8,4,43,17,0,0.00,0,0
173,2001,1,8,5,43,17,0,0.00,0,0
174,2001,1,8,6,43,17,0,0.00,0,0
175,2001,1,8,7,43,17,0,0.00,0,0
176,2001,1,8,8,41,17,36,62.60,0,1
177,2001,1,8,9,38,17,243,217.49,0,49
178,2001,1,8,10,36,18,443,361.15,6,117
179,2001,1,8,11,35,18,591,474.17,6,159
180,2001,1,8,12,35,18,677,541.76,12,180
181,2001,1,8,13,34,19,694,555.43,345,234
182,2001,1,8,14,35,18,642,513.50,68,204
183,2001,1,8,15,36,18,523,421.15,6,150
184,2001,1,8,16,37,18,347,290.24,0,94
185,2001,1,8,17,39,18,128,138.14,0,0
186,2001,1,8,18,41,17,0,0.00,0,0
187,2001,1,8,19,43,17,0,0.00,0,0
188,2001,1,8,20,45,16,0,0.00,0,0
189,2001,1,8,21,46,16,0,0.00,0,0
190,2001,1,8,22,47,16,0,0.00,0,0
191,2001,1,8,23,48,16,0,0.00,0,0
192,2001,1,8,0,48,15,0,0.00,0,0
193,2001,1,9,1,49,15,0,0.00,0,0
194,2001,1,9,2,49,15,0,0.00,0,0
195,2001,1,9,3,48,15,0,0.00,0,0
196,2001,1,9,4,48,14,0,0.00,0,0
197,2001,1,9,5,47,14,0,0.00,0,0
198,2001,1,9,6,46,14,0,0.00,0,0
199,2001,1,9,7,45,14,0,0.00,0,0
200,2001,1,9,8,43,15,36,62.52,0,1
201,2001,1,9,9,40,15,244,217.72,30,61
202,2001,1,9,10,37,16,445,361.78,84,140
203,2001,1,9,11,35,16,593,475.27,23,167
204,2001,1,9,12,33,17,679,543.33,0,75
205,2001,1,9,13,32,17,697,557.41,48,224
206,2001,1,9,14,31,17,645,515.79,6,171
207,2001,1,9,15,31,17,527,423.61,0,114
208,2001,1,9,16,30,17,351,292.68,0,103
209,2001,1,9,17,32,17,132,140.38,0,0
210,2001,1,9,18,34,16,1,0.00,0,0
211,2001,1,9,19,36,16,0,0.00,0,0
212,2001,1,9,20,38,16,0,0.00,0,0
213,2001,1,9,21,40,16,0,0.00,0,0
214,2001,1,9,22,43,16,0,0.00,0,0
215,2001,1,9,23,44,16,0,0.00,0,0
216,2001,1,9,0,46,16,0,0.00,0,0
217,2001,1,10,1,48,16,0,0.00,0,0
218,2001,1,10,2,50,15,0,0.00,0,0
219,2001,1,10,3,51,15,0,0.00,0,0
220,2001,1,10,4,53,15,0,0.00,0,0
221,2001,1,10,5,51,15,0,0.00,0,0
222,2001,1,10,6,48,16,0,0.00,0,0
223,2001,1,10,7,46,16,0,0.00,0,0
224,2001,1,10,8,43,16,37,62.47,0,1
225,2001,1,10,9,40,17,245,218.03,0,21
226,2001,1,10,10,37,17,446,362.51,0,43
227,2001,1,10,11,36,18,596,476.47,6,148
228,2001,1,10,12,35,18,682,544.99,0,75
229,2001,1,10,13,34,19,700,559.42,0,81
230,2001,1,10,14,35,19,649,518.11,0,87
231,2001,1,10,15,36,19,531,425.94,0,91
232,2001,1,10,16,38,18,355,295.05,108,126
233,2001,1,10,17,35,18,136,142.60,0,0
234,2001,1,10,18,33,18,1,0.00,0,0
235,2001,1,10,19,30,18,0,0.00,0,0
236,2001,1,10,20,30,18,0,0.00,0,0
237,2001,1,10,21,29,18,0,0.00,0,0
238,2001,1,10,22,28,18,0,0.00,0,0
239,2001,1,10,23,31,18,0,0.00,0,0
240,2001,1,10,0,34,18,0,0.00,0,0
241,2001,1,11,1,37,18,0,0.00,0,0
242,2001,1,11,2,37,18,0,0.00,0,0
243,2001,1,11,3,38,18,0,0.00,0,0
244,2001,1,11,4,39,17,0,0.00,0,0
245,2001,1,11,5,39,18,0,0.00,0,0
246,2001,1,11,6,39,18,0,0.00,0,0
247,2001,1,11,7,39,18,0,0.00,0,0
248,2001,1,11,8,37,18,37,62.57,0,0
249,2001,1,11,9,35,19,247,218.42,0,21
250,2001,1,11,10,33,20,448,363.33,0,43
251,2001,1,11,11,32,20,598,477.76,0,64
252,2001,1,11,12,31,21,685,546.75,0,75
253,2001,1,11,13,30,21,704,558.60,0,81
254,2001,1,11,14,30,21,653,509.35,0,100
255,2001,1,11,15,31,21,535,408.01,0,68
256,2001,1,11,16,32,20,360,277.98,0,71
257,2001,1,11,17,32,20,140,133.64,0,0
258,2001,1,11,18,33,20,1,0.00,0,0
259,2001,1,11,19,33,20,0,0.00,0,0
260,2001,1,11,20,33,20,0,0.00,0,0
261,2001,1,11,21,32,20,0,0.00,0,0
262,2001,1,11,22,32,20,0,0.00,0,0
263,2001,1,11,23,32,20,0,0.00,0,0
264,2001,1,11,0,31,20,0,0.00,0,0
265,2001,1,12,1,31,20,0,0.00,0,0
266,2001,1,12,2,30,20,0,0.00,0,0
267,2001,1,12,3,30,20,0,0.00,0,0
268,2001,1,12,4,30,20,0,0.00,0,0
269,2001,1,12,5,29,20,0,0.00,0,0
270,2001,1,12,6,28,20,0,0.00,0,0
271,2001,1,12,7,28,20,0,0.00,0,0
272,2001,1,12,8,27,21,38,62.23,57,1
273,2001,1,12,9,27,21,248,216.68,429,46
274,2001,1,12,10,27,22,450,359.47,607,81
275,2001,1,12,11,30,22,600,471.56,706,102
276,2001,1,12,12,33,23,688,538.35,649,158
277,2001,1,12,13,36,23,707,549.85,242,238
278,2001,1,12,14,37,23,657,508.35,0,93
279,2001,1,12,15,38,22,539,416.05,479,185
280,2001,1,12,16,40,22,364,292.15,479,108
281,2001,1,12,17,38,22,144,144.62,0,0
282,2001,1,12,18,36,22,2,0.00,0,0
283,2001,1,12,19,35,21,0,0.00,0,0
284,2001,1,12,20,34,21,0,0.00,0,0
285,2001,1,12,21,34,21,0,0.00,0,0
286,2001,1,12,22,34,21,0,0.00,0,0
287,2001,1,12,23,35,21,0,0.00,0,0
288,2001,1,12,0,36,21,0,0.00,0,0
289,2001,1,13,1,36,20,0,0.00,0,0
290,2001,1,13,2,38,20,0,0.00,0,0
291,2001,1,13,3,40,20,0,0.00,0,0
292,2001,1,13,4,42,20,0,0.00,0,0
293,2001,1,13,5,42,20,0,0.00,0,0
294,2001,1,13,6,43,20,0,0.00,0,0
295,2001,1,13,7,44,20,0,0.00,0,0
296,2001,1,13,8,42,20,39,61.53,70,2
297,2001,1,13,9,41,21,250,213.04,409,50
298,2001,1,13,10,40,21,452,358.56,590,86
299,2001,1,13,11,40,22,603,476.35,712,103
300,2001,1,13,12,40,22,691,549.02,756,110
301,2001,1,13,13,40,23,711,563.95,671,144
302,2001,1,13,14,41,22,661,522.02,530,192
303,2001,1,13,15,42,22,544,430.22,51,175
304,2001,1,13,16,42,21,368,298.31,28,122
305,2001,1,13,17,42,21,148,146.11,0,0
306,2001,1,13,18,42,21,2,0.00,0,0
307,2001,1,13,19,41,21,0,0.00,0,0
308,2001,1,13,20,41,21,0,0.00,0,0
309,2001,1,13,21,41,21,0,0.00,0,0
310,2001,1,13,22,41,21,0,0.00,0,0
311,2001,1,13,23,41,21,0,0.00,0,0
312,2001,1,13,0,40,21,0,0.00,0,0
313,2001,1,14,1,39,21,0,0.00,0,0
314,2001,1,14,2,38,21,0,0.00,0,0
315,2001,1,14,3,37,21,0,0.00,0,0
316,2001,1,14,4,36,21,0,0.00,0,0
317,2001,1,14,5,36,21,0,0.00,0,0
318,2001,1,14,6,35,21,0,0.00,0,0
319,2001,1,14,7,34,21,0,0.00,0,0
320,2001,1,14,8,34,22,39,61.46,33,2
321,2001,1,14,9,33,22,252,215.73,360,55
322,2001,1,14,10,33,22,455,356.18,585,87
323,2001,1,14,11,34,23,606,465.01,666,111
324,2001,1,14,12,35,23,695,528.14,631,141
325,2001,1,14,13,36,23,715,519.32,568,206
326,2001,1,14,14,38,23,665,452.78,62,171
327,2001,1,14,15,39,23,548,344.12,351,185
328,2001,1,14,16,41,22,373,242.69,369,140
329,2001,1,14,17,41,22,153,124.45,0,0
330,2001,1,14,18,42,22,3,0.41,0,0
331,2001,1,14,19,43,22,0,0.00,0,0
332,2001,1,14,20,43,22,0,0.00,0,0
333,2001,1,14,21,43,22,0,0.00,0,0
334,2001,1,14,22,43,22,0,0.00,0,0
335,2001,1,14,23,44,22,0,0.00,0,0
336,2001,1,14,0,45,22,0,0.00,0,0
337,2001,1,15,1,46,21,0,0.00,0,0
338,2001,1,15,2,46,21,0,0.00,0,0
339,2001,1,15,3,47,21,0,0.00,0,0
340,2001,1,15,4,47,21,0,0.00,0,0
341,2001,1,15,5,50,21,0,0.00,0,0
342,2001,1,15,6,53,21,0,0.00,0,0
343,2001,1,15,7,56,21,0,0.00,0,0
344,2001,1,15,8,54,21,40,63.53,70,2
345,2001,1,15,9,52,21,254,220.83,435,48
346,2001,1,15,10,50,22,457,367.53,613,86
347,2001,1,15,11,48,22,609,483.88,683,107
348,2001,1,15,12,45,22,698,554.69,726,115
349,2001,1,15,13,43,22,719,571.11,671,146
350,2001,1,15,14,45,22,669,531.14,732,111
351,2001,1,15,15,47,22,553,439.68,624,128
352,2001,1,15,16,49,21,378,308.37,460,112
353,2001,1,15,17,51,21,157,154.57,0,0
354,2001,1,15,18,53,20,3,2.04,0,0
355,2001,1,15,19,55,20,0,0.00,0,0
356,2001,1,15,20,56,20,0,0.00,0,0
357,2001,1,15,21,57,20,0,0.00,0,0
358,2001,1,15,22,59,19,0,0.00,0,0
359,2001,1,15,23,59,19,0,0.00,0,0
360,2001,1,15,0,59,19,0,0.00,0,0
361,2001,1,16,1,59,19,0,0.00,0,0
362,2001,1,16,2,59,19,0,0.00,0,0
363,2001,1,16,3,58,19,0,0.00,0,0
364,2001,1,16,4,58,18,0,0.00,0,0
365,2001,1,16,5,56,19,0,0.00,0,0
366,2001,1,16,6,54,19,0,0.00,0,0
367,2001,1,16,7,52,20,0,0.00,0,0
368,2001,1,16,8,49,20,41,58.99,67,2
369,2001,1,16,9,47,20,256,197.17,371,53
370,2001,1,16,10,44,21,460,319.83,596,91
371,2001,1,16,11,45,21,612,412.41,718,101
372,2001,1,16,12,46,22,702,458.39,762,107
373,2001,1,16,13,46,23,723,439.41,767,119
374,2001,1,16,14,50,22,674,374.47,720,114
375,2001,1,16,15,54,22,557,273.54,643,125
376,2001,1,16,16,58,22,382,179.49,486,111
377,2001,1,16,17,57,22,162,90.35,0,0
378,2001,1,16,18,56,21,4,2.92,0,0
379,2001,1,16,19,55,21,0,0.00,0,0
380,2001,1,16,20,55,21,0,0.00,0,0
381,2001,1,16,21,55,21,0,0.00,0,0
382,2001,1,16,22,55,21,0,0.00,0,0
383,2001,1,16,23,54,21,0,0.00,0,0
384,2001,1,16,0,53,21,0,0.00,0,0
385,2001,1,17,1,52,21,0,0.00,0,0
386,2001,1,17,2,51,20,0,0.00,0,0
387,2001,1,17,3,50,20,0,0.00,0,0
388,2001,1,17,4,49,20,0,0.00,0,0
389,2001,1,17,5,47,20,0,0.00,0,0
390,2001,1,17,6,44,21,0,0.00,0,0
391,2001,1,17,7,42,21,0,0.00,0,0
392,2001,1,17,8,42,21,42,23.03,68,2
393,2001,1,17,9,42,22,258,47.64,356,55
394,2001,1,17,10,42,23,463,215.87,585,94
395,2001,1,17,11,44,23,615,417.89,689,107
396,2001,1,17,12,45,23,706,553.01,750,111
397,2001,1,17,13,47,23,727,555.67,743,129
398,2001,1,17,14,48,23,678,499.75,670,129
399,2001,1,17,15,49,23,562,392.25,553,143
400,2001,1,17,16,50,22,387,277.47,470,112
401,2001,1,17,17,52,22,167,143.06,0,0
402,2001,1,17,18,53,22,5,5.22,0,0
403,2001,1,17,19,54,22,0,0.00,0,0
404,2001,1,17,20,53,22,0,0.00,0,0
405,2001,1,17,21,52,22,0,0.00,0,0
406,2001,1,17,22,51,22,0,0.00,0,0
407,2001,1,17,23,50,22,0,0.00,0,0
408,2001,1,17,0,49,22,0,0.00,0,0
409,2001,1,18,1,48,22,0,0.00,0,0
410,2001,1,18,2,48,22,0,0.00,0,0
411,2001,1,18,3,48,22,0,0.00,0,0
412,2001,1,18,4,48,22,0,0.00,0,0
413,2001,1,18,5,47,22,0,0.00,0,0
414,2001,1,18,6,46,22,0,0.00,0,0
